Station,Date,Time,DO,BOD,pH,Nitrate,Ammonia,Turbidity,FecalColiform,Temperature,Conductivity,FlowRate,Phosphate
Kolkata,2019-02-17,00:00:00,7.87,3.88,7.12,4.89,0.54,4.55,296.32,27.5,271.56,4.12,1.0
Gangotri,2019-02-18,00:00:00,8.35,3.07,7.92,4.68,0.43,1.96,312.0,27.5,274.37,4.75,0.81
Rishikesh,2019-02-18,00:00:00,9.22,4.12,7.78,6.35,0.46,1.23,79.38,27.5,285.61,4.6,1.02
Haridwar,2019-02-18,00:00:00,8.63,3.47,7.04,4.33,0.5,0.07,425.32,27.5,308.26,3.48,1.16
Kanpur,2019-02-18,00:00:00,8.08,3.99,7.47,5.27,0.46,3.19,448.33,27.5,226.45,4.3,1.06
Allahabad,2019-02-18,00:00:00,8.48,2.96,7.36,5.63,0.51,5.59,2.0,27.5,257.45,3.6,1.53
Varanasi,2019-02-18,00:00:00,8.6,3.39,6.94,4.92,0.61,0.75,30.67,27.5,279.02,4.01,0.95
Patna,2019-02-18,00:00:00,8.63,3.35,7.02,4.25,0.38,3.36,22.22,27.5,223.32,4.24,1.09
Kolkata,2019-02-18,00:00:00,8.46,3.46,6.99,5.7,0.42,1.43,251.84,27.5,260.37,3.88,0.58
Gangotri,2019-02-19,00:00:00,8.24,3.84,7.09,5.77,0.54,5.65,182.96,27.5,252.68,3.98,1.16
Rishikesh,2019-02-19,00:00:00,8.95,3.43,7.42,3.79,0.53,3.02,233.21,27.5,271.59,4.2,0.99
Haridwar,2019-02-19,00:00:00,9.4,3.5,7.02,5.98,0.58,1.44,223.52,27.5,240.4,4.46,1.19
Kanpur,2019-02-19,00:00:00,8.36,3.32,7.52,4.92,0.53,1.95,619.63,27.5,268.49,3.79,0.96
Allahabad,2019-02-19,00:00:00,7.25,3.42,7.49,4.99,0.38,3.42,685.49,27.5,249.64,4.51,1.38
Varanasi,2019-02-19,00:00:00,8.78,3.27,7.39,4.85,0.51,3.11,305.63,27.5,256.24,3.57,0.92
Patna,2019-02-19,00:00:00,9.7,3.0,7.23,5.43,0.64,3.31,311.99,27.5,219.98,3.58,0.67
Kolkata,2019-02-19,00:00:00,8.59,3.38,7.5,4.84,0.54,2.66,2.0,27.5,214.32,3.75,1.11
Gangotri,2019-02-20,00:00:00,8.36,3.54,7.49,5.56,0.42,1.47,345.24,27.5,270.6,3.73,1.09
Rishikesh,2019-02-20,00:00:00,9.07,4.01,7.63,5.79,0.45,1.0,661.23,27.5,289.87,3.58,1.09
Haridwar,2019-02-20,00:00:00,7.83,8.05,7.8,5.18,0.56,5.39,2.0,27.5,242.45,3.85,1.09
Kanpur,2019-02-20,00:00:00,8.2,3.63,7.33,5.77,0.41,3.54,179.19,27.5,241.83,4.31,0.79
Allahabad,2019-02-20,00:00:00,8.69,3.52,7.84,4.84,0.58,0.45,2.0,27.5,290.41,5.06,0.88
Varanasi,2019-02-20,00:00:00,7.15,3.72,7.65,4.73,0.55,3.34,2.0,27.5,262.36,3.99,1.43
Patna,2019-02-20,00:00:00,9.42,3.48,7.48,4.87,0.41,3.82,2.0,27.5,236.52,4.02,1.12
Kolkata,2019-02-20,00:00:00,8.16,3.2,7.31,5.0,0.55,1.59,460.2,27.5,243.62,3.4,0.55
Gangotri,2019-02-21,00:00:00,7.29,3.61,7.96,4.21,0.49,0.0,2.0,27.5,225.55,2.98,0.88
Rishikesh,2019-02-21,00:00:00,8.16,3.76,7.32,5.46,0.6,6.15,471.82,27.5,286.25,3.45,0.76
Haridwar,2019-02-21,00:00:00,7.83,3.35,8.02,4.86,0.36,3.25,477.34,27.5,249.53,4.01,0.64
Kanpur,2019-02-21,00:00:00,9.86,3.49,7.33,5.11,0.73,2.41,2.0,27.5,264.31,3.82,0.97
Allahabad,2019-02-21,00:00:00,9.04,8.71,7.08,4.59,0.74,5.78,303.76,27.5,184.34,3.9,0.74
Varanasi,2019-02-21,00:00:00,8.11,3.15,7.38,5.07,0.58,3.29,2.0,27.5,273.44,4.2,0.66
Patna,2019-02-21,00:00:00,9.04,4.15,6.84,5.62,0.53,1.06,277.02,27.5,228.6,4.37,1.32
Kolkata,2019-02-21,00:00:00,8.99,3.53,6.88,5.63,0.44,1.48,321.19,27.5,256.39,3.73,1.46
Gangotri,2019-02-22,00:00:00,10.0,3.56,7.46,5.35,0.31,3.0,2.0,27.5,244.46,4.02,0.89
Rishikesh,2019-02-22,00:00:00,7.72,3.45,8.36,4.9,0.34,2.53,417.77,27.5,237.7,3.64,1.54
Haridwar,2019-02-22,00:00:00,8.23,3.77,6.69,5.62,0.47,2.67,2.0,27.5,254.31,3.64,0.64
Kanpur,2019-02-22,00:00:00,8.67,3.43,7.13,5.1,0.66,0.0,245.1,27.5,218.13,3.94,0.46
Allahabad,2019-02-22,00:00:00,8.87,3.86,7.36,5.85,0.5,3.6,243.76,27.5,266.17,4.17,1.02
Varanasi,2019-02-22,00:00:00,8.53,3.26,7.1,4.67,0.52,4.69,2.0,27.5,242.52,3.37,1.01
Patna,2019-02-22,00:00:00,8.76,3.29,7.69,4.6,0.54,0.89,122.14,27.5,204.39,4.03,1.48
Kolkata,2019-02-22,00:00:00,7.69,3.47,7.76,5.33,0.48,2.91,2.0,27.5,231.95,2.91,1.32
Gangotri,2019-02-23,00:00:00,8.12,4.18,7.08,5.65,0.35,3.16,58.9,27.5,250.55,3.82,1.07
Rishikesh,2019-02-23,00:00:00,9.46,3.12,7.31,4.9,0.47,2.84,314.49,27.5,280.22,3.9,1.03
Haridwar,2019-02-23,00:00:00,8.62,3.82,6.76,5.18,0.63,3.2,255.85,27.5,264.65,3.72,0.88
Kanpur,2019-02-23,00:00:00,8.59,3.61,6.51,4.41,0.35,1.21,85.96,27.5,261.87,4.18,0.81
Allahabad,2019-02-23,00:00:00,7.74,3.3,7.77,4.56,0.51,1.31,300.45,27.5,271.72,3.19,1.13
Varanasi,2019-02-23,00:00:00,8.56,3.46,6.98,5.06,0.68,4.47,373.42,27.5,230.62,3.8,0.93
Patna,2019-02-23,00:00:00,8.42,3.52,7.14,5.61,0.48,2.63,107.46,27.5,307.04,4.61,0.87
Kolkata,2019-02-23,00:00:00,8.16,3.2,7.19,5.49,0.52,1.96,2.0,27.5,248.26,3.89,0.85
Gangotri,2019-02-24,00:00:00,8.2,3.47,7.42,13.61,0.31,3.88,300.1,27.5,239.0,4.33,1.14
Rishikesh,2019-02-24,00:00:00,8.32,3.36,7.34,5.24,0.53,2.49,2.0,27.5,263.56,3.78,1.16
Haridwar,2019-02-24,00:00:00,7.96,3.74,8.3,5.3,0.48,3.55,298.08,27.5,276.85,3.91,0.66
Kanpur,2019-02-24,00:00:00,8.52,3.49,6.98,5.18,0.42,5.81,608.78,27.5,242.3,4.53,1.15
Allahabad,2019-02-24,00:00:00,8.26,3.19,7.32,5.12,0.57,1.88,366.74,27.5,296.47,3.53,0.95
Varanasi,2019-02-24,00:00:00,8.19,3.03,6.62,4.76,0.41,4.78,2.0,27.5,253.46,3.37,0.98
Patna,2019-02-24,00:00:00,9.79,2.79,6.73,4.33,0.55,1.13,371.5,27.5,257.9,3.16,1.29
Kolkata,2019-02-24,00:00:00,8.33,3.43,7.28,4.67,0.48,1.23,190.05,27.5,235.79,4.38,1.41
Gangotri,2019-02-25,00:00:00,8.44,3.66,8.38,5.28,0.58,4.83,362.17,27.5,256.3,4.23,0.78
Rishikesh,2019-02-25,00:00:00,9.11,3.18,7.04,5.31,0.6,4.63,61.68,27.5,214.35,3.37,0.8
Haridwar,2019-02-25,00:00:00,9.02,3.58,7.17,5.06,0.43,4.09,529.07,27.5,257.76,3.67,0.75
Kanpur,2019-02-25,00:00:00,7.86,3.74,7.3,5.21,0.46,4.52,48.51,27.5,247.44,4.33,1.04
Allahabad,2019-02-25,00:00:00,9.23,3.2,7.87,5.12,0.45,3.83,396.26,27.5,239.47,3.45,1.08
Varanasi,2019-02-25,00:00:00,8.31,3.9,7.66,5.27,0.6,3.28,198.19,27.5,254.8,3.62,1.08
Patna,2019-02-25,00:00:00,7.76,3.34,7.46,4.92,0.63,2.38,2.0,27.5,232.71,3.67,0.89
Kolkata,2019-02-25,00:00:00,7.55,3.7,7.31,4.93,0.51,3.36,265.58,27.5,281.57,3.44,1.08
Gangotri,2019-02-26,00:00:00,9.25,3.53,8.1,4.99,0.59,2.65,275.89,27.5,228.6,3.91,0.77
Rishikesh,2019-02-26,00:00:00,9.32,3.05,7.68,4.84,0.48,3.95,260.13,27.5,240.99,4.07,0.71
Haridwar,2019-02-26,00:00:00,7.56,4.07,7.1,5.76,0.42,0.68,2.0,27.5,280.97,3.19,1.03
Kanpur,2019-02-26,00:00:00,8.65,3.37,7.48,5.2,0.6,4.08,315.28,27.5,239.79,2.18,0.89
Allahabad,2019-02-26,00:00:00,9.39,4.11,7.14,5.33,0.65,5.55,462.35,27.5,255.31,4.18,0.95
Varanasi,2019-02-26,00:00:00,6.89,3.46,7.58,4.49,0.35,1.61,2.0,27.5,260.42,3.24,0.77
Patna,2019-02-26,00:00:00,8.34,3.65,7.32,6.18,0.45,0.0,148.07,27.5,253.26,4.16,0.69
Kolkata,2019-02-26,00:00:00,7.96,3.73,6.85,5.38,0.35,2.62,319.18,27.5,222.79,3.81,0.95
Gangotri,2019-02-27,00:00:00,9.18,3.64,7.33,5.42,0.48,0.79,323.14,27.5,259.56,3.65,0.99
Rishikesh,2019-02-27,00:00:00,9.23,3.74,7.25,4.85,0.56,5.03,419.02,27.5,254.29,4.09,1.12
Haridwar,2019-02-27,00:00:00,9.01,3.66,7.64,5.17,0.62,3.82,2.0,27.5,280.93,3.58,0.88
Kanpur,2019-02-27,00:00:00,9.48,3.28,7.77,5.03,0.56,3.64,529.68,27.5,267.59,4.44,0.79
Allahabad,2019-02-27,00:00:00,8.51,3.57,7.81,5.04,0.42,0.92,2.0,27.5,216.28,4.07,1.07
Varanasi,2019-02-27,00:00:00,9.27,3.81,7.44,4.74,0.7,3.19,622.74,27.5,220.14,2.5,0.9
Patna,2019-02-27,00:00:00,8.93,3.97,8.02,4.86,0.51,4.21,130.92,27.5,259.82,3.58,0.99
Kolkata,2019-02-27,00:00:00,9.22,3.24,7.35,3.63,0.62,3.53,469.11,27.5,240.27,3.82,0.83
Gangotri,2019-02-28,00:00:00,9.04,3.01,7.73,4.78,0.58,2.0,564.65,27.5,233.37,4.04,1.18
Rishikesh,2019-02-28,00:00:00,8.73,3.38,7.09,5.13,0.48,3.65,356.64,27.5,226.13,4.14,1.21
Haridwar,2019-02-28,00:00:00,8.69,3.42,7.53,3.98,0.56,2.15,2.0,27.5,271.54,4.51,0.77
Kanpur,2019-02-28,00:00:00,7.95,2.85,7.21,4.72,0.35,3.78,2.0,27.5,238.56,4.05,1.0
Allahabad,2019-02-28,00:00:00,8.36,3.65,7.52,5.53,0.59,2.36,532.14,27.5,262.59,3.16,0.85
Varanasi,2019-02-28,00:00:00,9.15,3.25,7.93,5.16,0.34,3.28,42.19,27.5,229.28,4.66,0.8
Patna,2019-02-28,00:00:00,8.52,3.4,7.06,5.65,0.35,1.9,253.42,27.5,262.7,3.79,0.72
Kolkata,2019-02-28,00:00:00,8.89,3.28,7.19,5.77,0.43,3.76,106.07,27.5,297.11,3.42,1.12
Gangotri,2019-03-01,00:00:00,7.29,3.59,7.93,5.07,0.53,3.01,2.0,29.33,213.98,4.19,1.1
Rishikesh,2019-03-01,00:00:00,8.27,3.7,8.04,4.51,0.48,1.7,153.87,29.33,267.5,4.08,0.87
Haridwar,2019-03-01,00:00:00,8.42,3.9,7.37,5.01,0.39,2.62,201.84,29.33,290.1,3.83,1.41
Kanpur,2019-03-01,00:00:00,8.97,3.14,7.44,5.26,0.55,2.52,185.9,29.33,228.56,4.61,1.18
Allahabad,2019-03-01,00:00:00,7.88,3.13,7.39,5.1,0.45,2.56,322.9,29.33,233.81,5.33,1.25
Varanasi,2019-03-01,00:00:00,8.2,3.17,7.18,4.17,0.66,4.9,358.13,29.33,200.76,4.33,1.54
Patna,2019-03-01,00:00:00,9.38,3.09,7.53,5.01,0.57,3.55,334.01,29.33,235.92,3.36,1.45
Kolkata,2019-03-01,00:00:00,7.56,3.48,6.7,5.1,0.42,2.73,458.2,29.33,265.11,3.62,0.98
Gangotri,2019-03-02,00:00:00,8.77,3.51,6.51,4.85,0.57,4.89,2.0,29.33,220.41,3.83,0.92
Rishikesh,2019-03-02,00:00:00,8.13,4.12,7.32,4.88,0.57,5.41,444.97,29.33,293.1,3.63,0.78
Haridwar,2019-03-02,00:00:00,7.48,3.68,8.5,6.09,0.53,2.72,196.1,29.33,308.27,3.78,1.63
Kanpur,2019-03-02,00:00:00,7.93,3.58,7.7,5.03,0.42,3.07,273.38,29.33,215.86,4.41,1.0
Allahabad,2019-03-02,00:00:00,7.26,3.39,7.75,4.0,0.53,4.57,755.67,29.33,238.26,3.6,0.74
Varanasi,2019-03-02,00:00:00,8.96,4.01,7.85,5.83,0.58,2.11,374.41,29.33,255.94,4.14,0.93
Patna,2019-03-02,00:00:00,8.51,3.05,7.65,4.4,0.49,1.72,420.78,29.33,251.31,3.97,1.28
Kolkata,2019-03-02,00:00:00,8.61,3.69,7.17,5.79,0.36,1.14,9.88,29.33,289.98,4.19,0.94
Gangotri,2019-03-03,00:00:00,8.45,3.23,7.58,4.64,0.55,3.0,2.0,29.33,226.55,3.63,1.28
Rishikesh,2019-03-03,00:00:00,8.43,2.98,7.2,4.14,0.49,2.92,282.48,29.33,230.07,3.21,0.73
Haridwar,2019-03-03,00:00:00,8.35,3.34,7.57,5.25,0.49,3.66,499.29,29.33,230.62,3.52,0.8
Kanpur,2019-03-03,00:00:00,8.88,3.37,7.53,4.83,0.71,6.14,525.3,29.33,199.09,4.67,1.7
Allahabad,2019-03-03,00:00:00,8.68,3.22,6.78,4.85,0.31,3.26,433.6,29.33,266.8,4.24,1.23
Varanasi,2019-03-03,00:00:00,7.88,3.1,7.03,4.77,0.46,2.52,2.0,29.33,255.44,4.18,1.01
Patna,2019-03-03,00:00:00,9.09,3.51,7.6,5.23,0.53,0.03,2.0,29.33,205.73,3.84,0.7
Kolkata,2019-03-03,00:00:00,7.38,3.32,7.59,5.29,0.39,3.61,2.0,29.33,292.09,3.55,1.44
Gangotri,2019-03-04,00:00:00,8.09,2.94,7.08,4.82,0.56,1.04,341.5,29.33,241.99,4.22,0.78
Rishikesh,2019-03-04,00:00:00,9.05,3.22,6.76,4.77,0.5,1.4,86.77,29.33,238.22,4.68,0.84
Haridwar,2019-03-04,00:00:00,9.23,3.26,7.46,5.16,0.56,0.95,501.31,29.33,203.6,4.36,0.68
Kanpur,2019-03-04,00:00:00,8.84,3.86,7.17,4.61,0.51,2.38,300.5,29.33,227.71,4.28,1.08
Allahabad,2019-03-04,00:00:00,8.31,3.42,7.43,5.09,0.52,2.14,2.0,29.33,310.77,4.47,0.46
Varanasi,2019-03-04,00:00:00,9.08,3.73,7.97,5.35,0.43,2.82,2.0,29.33,282.65,3.57,0.84
Patna,2019-03-04,00:00:00,7.94,3.43,7.65,4.97,0.4,5.06,442.28,29.33,203.95,4.14,1.06
Kolkata,2019-03-04,00:00:00,8.55,3.4,7.87,5.37,0.43,5.45,624.0,29.33,225.11,3.85,0.8
Gangotri,2019-03-05,00:00:00,8.35,3.65,7.29,5.04,0.44,2.21,555.97,29.33,228.6,3.65,1.26
Rishikesh,2019-03-05,00:00:00,8.36,3.71,7.66,5.0,0.51,0.0,126.53,29.33,257.88,4.4,0.93
Haridwar,2019-03-05,00:00:00,8.94,2.88,7.38,5.28,0.35,1.95,202.28,29.33,236.05,3.97,1.13
Kanpur,2019-03-05,00:00:00,8.36,3.46,7.36,5.64,0.5,1.4,290.69,29.33,246.23,4.42,0.33
Allahabad,2019-03-05,00:00:00,8.83,3.43,8.17,5.42,0.55,2.29,2.0,29.33,218.78,4.51,1.1
Varanasi,2019-03-05,00:00:00,7.62,3.46,7.78,5.8,0.38,0.84,2.0,29.33,237.24,4.31,1.15
Patna,2019-03-05,00:00:00,8.97,3.56,7.05,5.49,0.47,3.59,2.0,29.33,293.75,3.7,1.48
Kolkata,2019-03-05,00:00:00,8.86,3.47,7.47,4.62,0.53,3.39,250.76,29.33,262.14,4.83,0.83
Gangotri,2019-03-06,00:00:00,9.23,3.69,6.98,4.63,0.5,2.94,331.74,29.33,262.75,4.57,1.23
Rishikesh,2019-03-06,00:00:00,7.27,3.5,7.41,5.42,0.54,1.93,287.05,29.33,241.26,3.88,1.11
Haridwar,2019-03-06,00:00:00,8.34,3.37,7.25,4.8,0.39,2.26,155.65,29.33,238.13,3.3,0.97
Kanpur,2019-03-06,00:00:00,9.06,2.99,6.75,4.48,0.64,3.55,2.0,29.33,286.21,3.83,0.78
Allahabad,2019-03-06,00:00:00,8.04,3.42,8.07,5.19,0.43,4.53,2.0,29.33,253.2,3.93,0.89
Varanasi,2019-03-06,00:00:00,9.84,3.04,8.21,4.14,0.51,5.39,288.97,29.33,227.12,3.08,1.28
Patna,2019-03-06,00:00:00,7.31,3.57,6.86,4.42,0.65,2.78,569.45,29.33,198.34,4.59,0.96
Kolkata,2019-03-06,00:00:00,8.84,3.76,7.13,3.7,0.56,4.59,114.48,29.33,272.64,3.7,1.33
Gangotri,2019-03-07,00:00:00,8.06,3.59,7.58,4.63,0.5,3.06,165.83,29.33,211.77,3.89,1.07
Rishikesh,2019-03-07,00:00:00,8.23,3.61,6.89,5.11,0.55,2.39,525.63,29.33,237.96,4.31,1.19
Haridwar,2019-03-07,00:00:00,7.59,3.47,7.44,5.15,0.58,3.06,412.53,29.33,303.68,2.67,0.87
Kanpur,2019-03-07,00:00:00,8.14,3.23,6.5,5.53,0.5,4.16,2.0,29.33,230.29,3.9,0.87
Allahabad,2019-03-07,00:00:00,8.73,3.9,7.6,6.19,0.28,1.21,302.62,29.33,284.09,4.06,0.83
Varanasi,2019-03-07,00:00:00,9.34,3.57,6.5,4.65,0.57,2.14,308.66,29.33,250.34,4.61,1.23
Patna,2019-03-07,00:00:00,8.78,3.4,7.5,4.58,0.57,2.69,254.68,29.33,278.02,3.13,0.87
Kolkata,2019-03-07,00:00:00,9.85,3.63,7.84,5.3,0.49,0.67,487.55,29.33,251.43,4.55,0.87
Gangotri,2019-03-08,00:00:00,8.42,3.63,7.14,5.4,0.41,5.78,26.23,29.33,273.36,4.37,1.06
Rishikesh,2019-03-08,00:00:00,8.94,3.61,8.15,4.92,0.34,5.44,184.18,29.33,305.19,4.27,1.23
Haridwar,2019-03-08,00:00:00,7.31,3.61,7.12,4.43,0.52,4.39,315.78,29.33,215.57,3.97,1.15
Kanpur,2019-03-08,00:00:00,8.21,3.18,7.08,5.4,0.57,4.26,2.0,29.33,253.14,3.42,1.43
Allahabad,2019-03-08,00:00:00,8.11,3.67,7.75,4.77,0.42,0.97,403.28,29.33,253.11,4.41,1.5
Varanasi,2019-03-08,00:00:00,8.06,3.24,7.31,4.67,0.56,1.47,287.39,29.33,242.82,4.26,1.08
Patna,2019-03-08,00:00:00,9.18,3.12,7.31,4.89,0.38,2.11,827.37,29.33,256.83,4.3,0.75
Kolkata,2019-03-08,00:00:00,7.59,3.18,7.24,5.33,0.63,3.63,482.63,29.33,243.14,4.34,1.62
Gangotri,2019-03-09,00:00:00,7.56,4.02,8.15,5.17,0.37,4.52,355.84,29.33,257.43,3.3,1.05
Rishikesh,2019-03-09,00:00:00,7.79,3.33,7.66,5.31,0.43,2.19,2.0,29.33,231.39,4.66,1.33
Haridwar,2019-03-09,00:00:00,8.82,3.32,8.39,5.43,0.58,3.15,424.11,29.33,264.87,3.8,0.84
Kanpur,2019-03-09,00:00:00,8.39,3.43,7.36,4.97,0.44,1.47,276.62,29.33,258.88,4.66,1.29
Allahabad,2019-03-09,00:00:00,8.3,2.98,7.31,4.26,0.57,2.8,389.72,29.33,197.53,4.19,1.08
Varanasi,2019-03-09,00:00:00,9.59,3.23,6.9,4.12,0.41,4.67,51.12,29.33,243.69,3.88,1.35
Patna,2019-03-09,00:00:00,7.98,3.32,8.39,5.34,0.68,1.24,350.33,29.33,235.71,2.1,0.81
Kolkata,2019-03-09,00:00:00,8.82,3.4,7.06,5.49,0.54,4.21,172.53,29.33,259.74,3.94,1.26
Gangotri,2019-03-10,00:00:00,8.01,3.71,6.93,5.34,0.6,4.38,98.42,29.33,253.4,3.93,1.0
Rishikesh,2019-03-10,00:00:00,8.96,3.51,7.64,5.06,0.55,5.0,2.0,29.33,248.16,3.47,1.23
Haridwar,2019-03-10,00:00:00,9.02,3.11,7.47,4.57,0.49,5.72,161.31,29.33,256.67,4.15,1.08
Kanpur,2019-03-10,00:00:00,8.43,3.61,7.52,4.67,0.54,1.27,70.44,29.33,208.49,4.31,0.82
Allahabad,2019-03-10,00:00:00,8.77,3.71,7.39,5.19,0.63,2.19,50.44,29.33,254.24,4.75,1.16
Varanasi,2019-03-10,00:00:00,7.87,3.57,7.24,4.68,0.5,5.41,2.0,29.33,248.08,4.2,0.77
Patna,2019-03-10,00:00:00,8.49,3.31,7.46,5.51,0.45,3.58,295.61,29.33,231.24,3.98,0.68
Kolkata,2019-03-10,00:00:00,8.46,2.81,7.88,3.92,0.36,2.26,618.37,29.33,219.75,4.44,1.11
Gangotri,2019-03-11,00:00:00,7.68,3.37,7.66,5.83,0.55,3.31,653.51,29.33,215.87,4.5,1.24
Rishikesh,2019-03-11,00:00:00,8.39,3.75,8.1,4.61,0.55,4.18,273.78,29.33,221.37,3.8,1.27
Haridwar,2019-03-11,00:00:00,7.89,3.9,7.52,5.56,0.52,0.87,2.0,29.33,246.86,4.81,1.09
Kanpur,2019-03-11,00:00:00,8.76,3.46,7.32,5.06,0.51,2.59,2.0,29.33,238.6,4.0,0.98
Allahabad,2019-03-11,00:00:00,7.25,3.01,7.48,5.37,0.45,1.79,10.35,29.33,262.14,3.57,1.19
Varanasi,2019-03-11,00:00:00,8.89,3.15,7.27,4.91,0.52,5.66,2.0,29.33,284.25,4.21,1.02
Patna,2019-03-11,00:00:00,8.5,3.73,7.55,4.87,0.59,4.16,362.54,29.33,256.12,4.01,1.35
Kolkata,2019-03-11,00:00:00,8.52,3.41,7.77,4.11,0.62,3.43,629.85,29.33,271.96,3.81,1.17
Gangotri,2019-03-12,00:00:00,7.85,3.56,7.54,5.44,0.53,4.89,402.95,29.33,241.54,4.42,1.25
Rishikesh,2019-03-12,00:00:00,8.59,3.64,7.38,4.64,0.35,1.91,115.85,29.33,235.93,4.51,0.65
Haridwar,2019-03-12,00:00:00,8.22,3.55,7.82,4.01,0.5,0.24,78.51,29.33,217.62,3.93,0.9
Kanpur,2019-03-12,00:00:00,9.05,3.53,7.22,4.16,0.45,1.67,317.35,29.33,244.21,4.35,0.77
Allahabad,2019-03-12,00:00:00,8.49,3.39,7.09,5.0,0.41,1.16,355.34,29.33,221.19,5.37,1.48
Varanasi,2019-03-12,00:00:00,9.37,3.46,7.63,4.61,0.6,3.45,467.9,29.33,255.27,4.16,1.07
Patna,2019-03-12,00:00:00,8.99,3.37,6.89,5.04,0.73,1.85,369.45,29.33,298.27,4.64,0.83
Kolkata,2019-03-12,00:00:00,8.41,3.29,7.19,5.09,1.42,1.85,148.85,29.33,222.24,4.16,1.2
Gangotri,2019-03-13,00:00:00,9.1,3.26,7.3,4.75,0.61,4.39,461.6,29.33,190.44,3.31,1.16
Rishikesh,2019-03-13,00:00:00,8.94,3.55,7.38,5.25,0.43,4.49,427.62,29.33,233.19,3.47,0.6
Haridwar,2019-03-13,00:00:00,8.5,3.35,6.87,4.63,0.48,0.4,2.0,29.33,227.97,4.03,0.87
Kanpur,2019-03-13,00:00:00,8.86,3.31,6.74,5.21,0.62,3.81,620.62,29.33,227.8,4.1,1.12
Allahabad,2019-03-13,00:00:00,8.93,3.33,7.85,4.54,0.56,1.62,338.08,29.33,244.15,3.9,0.39
Varanasi,2019-03-13,00:00:00,7.48,2.93,7.35,4.03,0.44,2.45,363.49,29.33,232.82,3.13,0.84
Patna,2019-03-13,00:00:00,8.07,3.55,8.37,4.52,0.47,4.95,89.42,29.33,308.3,3.75,0.94
Kolkata,2019-03-13,00:00:00,8.39,3.76,7.28,5.49,0.54,0.73,2.0,29.33,240.77,3.87,0.76
Gangotri,2019-03-14,00:00:00,8.1,3.29,8.32,5.26,0.48,2.43,243.36,29.33,240.17,3.87,0.89
Rishikesh,2019-03-14,00:00:00,8.16,3.72,7.24,4.82,0.35,2.74,215.0,29.33,273.96,4.19,0.72
Haridwar,2019-03-14,00:00:00,8.67,4.01,7.79,5.34,0.4,2.01,120.26,29.33,252.69,3.86,1.31
Kanpur,2019-03-14,00:00:00,9.05,3.57,7.76,5.2,0.37,3.52,174.88,29.33,232.81,3.24,0.69
Allahabad,2019-03-14,00:00:00,7.93,3.46,7.53,4.37,0.54,0.93,1106.54,29.33,193.61,3.96,0.67
Varanasi,2019-03-14,00:00:00,8.26,3.68,8.06,4.47,0.47,2.9,187.94,29.33,254.78,3.79,1.13
Patna,2019-03-14,00:00:00,9.0,3.52,6.9,4.96,0.47,3.33,261.35,29.33,654.53,3.0,0.63
Kolkata,2019-03-14,00:00:00,7.83,3.84,6.86,4.87,0.4,3.0,580.82,29.33,249.71,3.5,0.81
Gangotri,2019-03-15,00:00:00,8.86,3.55,7.43,5.43,0.7,2.2,2.0,29.33,269.29,4.24,1.46
Rishikesh,2019-03-15,00:00:00,7.58,3.26,7.35,4.89,0.45,1.25,516.64,29.33,274.04,4.43,1.08
Haridwar,2019-03-15,00:00:00,8.16,3.27,7.88,5.37,0.51,4.09,2.0,29.33,236.68,3.59,0.86
Kanpur,2019-03-15,00:00:00,8.51,3.71,7.31,4.29,0.5,5.68,342.62,29.33,220.61,3.66,1.38
Allahabad,2019-03-15,00:00:00,8.35,3.71,7.51,3.72,0.47,3.72,523.81,29.33,242.03,4.3,0.92
Varanasi,2019-03-15,00:00:00,8.56,3.41,7.33,4.55,0.46,2.01,347.86,29.33,237.59,4.23,0.92
Patna,2019-03-15,00:00:00,9.08,3.63,8.0,5.16,0.73,0.46,253.4,29.33,209.16,4.92,1.39
Kolkata,2019-03-15,00:00:00,8.57,3.68,7.59,5.51,0.58,1.37,184.11,29.33,289.78,4.29,1.07
Gangotri,2019-03-16,00:00:00,7.89,3.51,7.1,4.55,0.33,2.43,420.19,29.33,210.11,4.46,1.01
Rishikesh,2019-03-16,00:00:00,9.63,3.53,7.66,4.86,0.5,0.07,3.15,29.33,249.17,4.27,1.17
Haridwar,2019-03-16,00:00:00,8.99,3.14,7.27,4.81,0.46,4.16,179.71,29.33,242.95,4.42,1.05
Kanpur,2019-03-16,00:00:00,9.09,3.52,7.58,4.8,0.53,0.25,287.29,29.33,263.51,4.33,1.19
Allahabad,2019-03-16,00:00:00,9.15,3.45,7.65,5.36,0.43,1.78,513.83,29.33,221.53,3.79,0.88
Varanasi,2019-03-16,00:00:00,8.98,2.97,6.88,4.49,0.73,5.03,2.02,29.33,250.94,2.96,1.06
Patna,2019-03-16,00:00:00,9.08,3.35,7.45,5.23,0.49,2.35,2.0,29.33,206.97,4.88,1.07
Kolkata,2019-03-16,00:00:00,8.8,3.49,7.74,4.81,0.32,4.25,292.34,29.33,239.47,3.42,0.93
Gangotri,2019-03-17,00:00:00,8.37,3.71,7.16,5.51,0.5,3.4,192.13,29.33,245.21,4.6,0.82
Rishikesh,2019-03-17,00:00:00,8.84,3.45,7.93,5.21,0.48,3.72,2.0,29.33,224.48,3.81,1.36
Haridwar,2019-03-17,00:00:00,7.71,3.41,7.59,5.63,0.49,4.31,2.0,29.33,230.59,4.1,0.89
Kanpur,2019-03-17,00:00:00,8.36,2.98,7.33,5.11,0.62,2.43,37.73,29.33,238.94,5.09,0.96
